Key,EN
OVERTIME_TECHNOLOGY_NAME,Overtime
OVERTIME_TECHNOLOGY_LVL_1,Decrease laborer assigning time by 10%
OVERTIME_TECHNOLOGY_LVL_2,Decrease laborer assigning time by 20%
OVERTIME_TECHNOLOGY_LVL_3,Decrease laborer assigning time by 30%
OVERTIME_TECHNOLOGY_LVL_4,Decrease laborer assigning time by 40%
OVERTIME_TECHNOLOGY_LVL_5,Decrease laborer assigning time by 50%
,
A_CALL_TO_ARMS_TECHNOLOGY_NAME,A Call To Arms
A_CALL_TO_ARMS_TECHNOLOGY_LVL_1,Order idle laborers to provide up to 3% damage bonus with 60 laborers when the town is under attack. (Does not stack)
A_CALL_TO_ARMS_TECHNOLOGY_LVL_2,Order idle laborers to provide up to 6% damage bonus with 110 laborers when the town is under attack. (Does not stack)
A_CALL_TO_ARMS_TECHNOLOGY_LVL_3,Order idle laborers to provide up to 9% damage bonus with 150 laborers when the town is under attack. (Does not stack)
A_CALL_TO_ARMS_TECHNOLOGY_LVL_4,Order idle laborers to provide up to 12% damage bonus with 180 laborers when the town is under attack. (Does not stack)
A_CALL_TO_ARMS_TECHNOLOGY_LVL_5,Order idle laborers to provide up to 15% damage bonus with 200 laborers when the town is under attack. (Does not stack)
,
,
TUNNEL_EXCAVATION_TECHNOLOGY_NAME,Tunnel Excavation
TUNNEL_EXCAVATION_TECHNOLOGY_LVL_1,"Reduces distance requirement by 1 for Tower, Cannon Tower and Basement. (Does not stack)"
TUNNEL_EXCAVATION_TECHNOLOGY_LVL_2,"Reduces distance requirement by 2 for Tower, Cannon Tower and Basement. (Does not stack)"
TUNNEL_EXCAVATION_TECHNOLOGY_LVL_3,"Reduces distance requirement by 3 for Tower, Cannon Tower and Basement. (Does not stack)"
,
SENSE_OF_URGENCY_TECHNOLOGY_NAME,Sense of Urgency
SENSE_OF_URGENCY_TECHNOLOGY_LVL_1,"If any structure is destroyed in battle, all other buildings are repaired by 4% of the destroyed buildings HP after the battle. (Stacks additively up to 100%)"
SENSE_OF_URGENCY_TECHNOLOGY_LVL_2,"If any structure is destroyed in battle, all other buildings are repaired by 8% of the destroyed buildings HP after the battle. (Stacks additively up to 100%)"
SENSE_OF_URGENCY_TECHNOLOGY_LVL_3,"If any structure is destroyed in battle, all other buildings are repaired by 12% of the destroyed buildings HP after the battle. (Stacks additively up to 100%)"
SENSE_OF_URGENCY_TECHNOLOGY_LVL_4,"If any structure is destroyed in battle, all other buildings are repaired by 16% of the destroyed buildings HP after the battle. (Stacks additively up to 100%)"
SENSE_OF_URGENCY_TECHNOLOGY_LVL_5,"If any structure is destroyed in battle, all other buildings are repaired by 20% of the destroyed buildings HP after the battle. (Stacks additively up to 100%)"
,
LAST_STAND_TECHNOLOGY_NAME,Last Stand
LAST_STAND_TECHNOLOGY_LVL_1,Hoplite receives 10% less damage when team is about to die. (Does not stack)
